day,hours,batch-code,batch,cno,title,credits,fac
4THU,H2,04-2,M Tech (ICT)-II,IT486,Blockchain and Cryptocurrencies,3-0-0-3,AMM
4THU,H2,04-2,M Tech (ICT)-II,IT524,Computer Vision,3-0-2-4,AH
4THU,H2,05-1,M Tech (EC-CRR)-I,CT421,Advanced Digital Signal Processing,3-0-2-4,HP
4THU,H2,05-1,M Tech (EC-CRR)-I,CT425,RF and Antenna Engineering,3-0-0-3,SG
4THU,H2,05-2,M Tech (EC-CRR)-II,IT524,Computer Vision,3-0-2-4,AH
4THU,H2,06-1,MSc (IT)-I,PC613,Communication Skills,3-0-2-4,SKS
4THU,H2,06-2,MSc (IT)-II,IT619,Design of Software Systems,3-0-2-4,JP
4THU,H2,07-1,MSc (DS)-I,SC614,Statistical Methods (Lab:R),3-0-2-4,PA
4THU,H2,07-2,MSc (DS)-II,IT641,Deep Learning,3-0-2-4,BG
5FRI,H1,01-1,B Tech (ICT n CS)-I,SC107,Calculus,3-1-0-4,NKS
5FRI,H1,01-2,B Tech (ICT n CS)-II,SC217,Electromagnetic Theory,3-1-0-4,AR
5FRI,H1,01-2,B Tech (ICT n CS)-II,SC217,Electromagnetic Theory,3-1-0-4,MT
5FRI,H1,01-3,B Tech (ICT n CS)-III,HM116,Principles of Economics,3-0-0-3,AP
5FRI,H1,01-4,B Tech (ICT n CS)-IV,HM333,Human Behaviour Management,3-0-0-3,N Banerjee
5FRI,H1,01-4,B Tech (ICT n CS)-IV,HM334,Art: Ideas and Perspectives,3-0-0-3,SRG
5FRI,H1,01-4,B Tech (ICT n CS)-IV,HM484,Modern European Philosophy,3-0-0-3,BK
5FRI,H1,03-2,B Tech (MnC)-II,MC214,Operating Systems,3-0-2-4,SS
5FRI,H1,04-1,M Tech (ICT)-I,SC532,"Linear Algebra, Random Variables and Processes",3-0-0-3,AG
5FRI,H1,05-1,M Tech (EC-CRR)-I,SC532,"Linear Algebra, Random Variables and Processes",3-0-0-3,AG
5FRI,H1,06-1,MSc (IT)-I,IT603,Programming,3-0-2-4,LS
5FRI,H1,06-2,MSc (IT)-II,HM333,Human Behaviour Management,3-0-0-3,N Banerjee
5FRI,H1,06-2,MSc (IT)-II,HM334,Art: Ideas and Perspectives,3-0-0-3,SRG
5FRI,H1,06-2,MSc (IT)-II,HM484,Modern European Philosophy,3-0-0-3,BK
5FRI,H1,07-2,MSc (DS)-II,HM333,Human Behaviour Management,3-0-0-3,N Banerjee
5FRI,H1,07-2,MSc (DS)-II,HM334,Art: Ideas and Perspectives,3-0-0-3,SRG
5FRI,H1,07-2,MSc (DS)-II,HM484,Modern European Philosophy,3-0-0-3,BK
5FRI,H2,01-2,B Tech (ICT n CS)-II,SC220,Groups and Linear Algebra,3-1-0-4,AT
5FRI,H2,01-2,B Tech (ICT n CS)-II,SC220,Groups and Linear Algebra,3-1-0-4,RM
5FRI,H2,01-3,B Tech (ICT n CS)-III,CT303,Digital Communication,3-0-3-4.5,AJ
5FRI,H2,01-3,B Tech (ICT n CS)-III,CT303,Digital Communication,3-0-3-4.5,DKG
5FRI,H2,01-4,B Tech (ICT n CS)-IV,CT516,Advanced Digital Communication,3-0-2-4,YV
5FRI,H2,01-4,B Tech (ICT n CS)-IV,IT414,Software Project Management,3-0-2-4,JP
5FRI,H2,01-4,B Tech (ICT n CS)-IV,IT468,Natural Computing,3-0-0-3,MKG
5FRI,H2,01-4,B Tech (ICT n CS)-IV,IT506,Accelerated Computing,3-0-2-4,BC
5FRI,H2,01-4,B Tech (ICT n CS)-IV,IT561,Advanced Software Engineering,3-0-2-4,ST
5FRI,H2,03-1,B Tech (MnC)-I,MC123,Discrete Mathematics,3-1-0-4,SP
5FRI,H2,03-2,B Tech (MnC)-II,MC215,Linear Algebra,3-1-0-4,RM
5FRI,H2,04-1,M Tech (ICT)-I,IT506,Accelerated Computing,3-0-2-4,BC
5FRI,H2,04-1,M Tech (ICT)-I,IT561,Advanced Software Engineering,3-0-2-4,ST
5FRI,H2,04-2,M Tech (ICT)-II,IT414,Software Project Management,3-0-2-4,JP
5FRI,H2,05-1,M Tech (EC-CRR)-I,CT516,Advanced Digital Communication,3-0-2-4,YV
5FRI,H2,06-1,MSc (IT)-I,IT615,Database Management Systems,3-0-2-4,PMJ
5FRI,H2,06-2,MSc (IT)-II,IT414,Software Project Management,3-0-2-4,JP
5FRI,H2,07-1,MSc (DS)-I,IT615,Database Management Systems,3-0-2-4,PMJ
5FRI,H2,07-2,MSc (DS)-II,IT414,Software Project Management,3-0-2-4,JP
5FRI,H3,01-1,B Tech (ICT n CS)-I,PC110,Language and Literature,3-0-0-3,SKS
5FRI,H3,01-1,B Tech (ICT n CS)-I,PC110,Language and Literature,3-0-0-3,SRG
5FRI,H3,01-2,B Tech (ICT n CS)-II,CT203,Signals and Systems ,3-1-0-4,AH
5FRI,H3,01-2,B Tech (ICT n CS)-II,CT203,Signals and Systems ,3-1-0-4,RLD
5FRI,H3,01-3,B Tech (ICT n CS)-III,IE402,Optimization,3-0-2-4,MK2
5FRI,H3,01-3,B Tech (ICT n CS)-III,IE404,Digital Image Processing,3-0-2-4,MK
5FRI,H3,01-3,B Tech (ICT n CS)-III,IE406,Machine Learning,3-0-2-4,MVJ
5FRI,H3,01-4,B Tech (ICT n CS)-IV,IE402,Optimization,3-0-2-4,MK2
5FRI,H3,01-4,B Tech (ICT n CS)-IV,IE404,Digital Image Processing,3-0-2-4,MK
5FRI,H3,01-4,B Tech (ICT n CS)-IV,IE406,Machine Learning,3-0-2-4,MVJ
5FRI,H3,03-1,B Tech (MnC)-I,PC110,Language and Literature,3-0-0-3,SKS
5FRI,H3,03-1,B Tech (MnC)-I,PC110,Language and Literature,3-0-0-3,SRG
5FRI,H3,03-2,B Tech (MnC)-II,MC213,Design and Analysis of Algorithms,3-1-0-4,PB
5FRI,H3,04-1,M Tech (ICT)-I,PC503,Programming LAB,1-0-4-3,TBD
5FRI,H3,06-2,MSc (IT)-II,IT634,Information Systems Security,3-0-2-4,MLD
5FRI,H3,07-2,MSc (DS)-II,IT634,Information Systems Security,3-0-2-4,MLD
